id,name,domain,difficulty_level
C001,Variables and Data Types,Coding,beginner
C002,"Control Flow (if/else, loops)",Coding,beginner
C003,Functions and Scope,Coding,beginner
C004,Basic Data Structures (arrays/strings),Coding,beginner
C005,Recursion,Coding,intermediate
C006,File I/O,Coding,beginner
C007,Error Handling and Exceptions,Coding,intermediate
C008,Object-Oriented Programming Basics,Coding,intermediate
C009,Basic Algorithms (sorting/searching),Coding,intermediate
C010,Version Control Basics (Git),Coding,beginner
